Product ID,Stock Available
1,True
2,False
3,False
4,False
5,True
6,False
7,False
8,False
9,True
10,True
11,False
12,True
13,False
14,True
15,False
16,True
17,False
18,False
19,True
20,False
21,False
22,True
23,False
24,True
25,False
26,False
27,False
28,True
29,True
30,False
31,False
32,True
33,False
34,False
35,False
36,False
37,False
38,True
39,True
40,False
41,False
42,False
43,False
44,True
45,False
46,True
47,False
48,True
49,False
50,False
51,True
52,True
53,True
54,True
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,True
73,True
74,False
75,False
76,True
77,False
78,False
79,False
80,False
81,False
82,False
83,True
84,False
85,False
86,True
87,True
88,True
89,True
90,True
91,True
92,False
93,True
94,False
95,False
96,True
97,True
98,False
99,False
100,True
101,False
102,True
103,False
104,True
105,True
106,True
107,False
108,False
109,False
110,True
111,False
112,False
113,True
114,False
115,True
116,False
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,True
125,True
126,True
127,True
128,True
129,False
130,False
131,True
132,False
133,False
134,True
135,True
136,True
137,False
138,True
139,False
140,False
141,True
142,False
143,True
144,True
145,False
146,False
147,True
148,True
149,False
150,False
151,False
152,True
153,False
154,False
155,False
156,False
157,True
158,True
159,False
160,True
161,True
162,False
163,False
164,True
165,False
166,False
167,True
168,False
169,True
170,True
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,True
179,False
180,True
181,False
182,False
183,False
184,True
185,False
186,False
187,True
188,False
189,False
190,False
191,False
192,False
193,True
194,False
195,False
196,False
197,True
198,False
199,True
200,True
201,False
202,False
203,True
204,False
205,False
206,False
207,True
208,False
209,False
210,False
211,False
212,False
213,True
214,True
215,True
216,False
217,False
218,False
219,False
220,True
221,False
222,True
223,True
224,False
225,True
226,True
227,False
228,False
229,True
230,True
231,False
232,False
233,True
234,True
235,False
236,True
237,False
238,True
239,True
240,False
241,False
242,True
243,True
244,False
245,False
246,False
247,True
248,False
249,True
250,True
251,False
252,False
253,True
254,False
255,True
256,False
257,True
258,False
259,False
260,False
261,True
262,True
263,False
264,True
265,True
266,False
267,False
268,False
269,True
270,True
271,False
272,True
273,False
274,True
275,True
276,True
277,True
278,True
279,False
280,False
281,True
282,True
283,False
284,True
285,True
286,False
287,False
288,True
289,True
290,False
291,False
292,False
293,False
294,True
295,True
296,False
297,False
298,False
299,False
300,False
301,False
302,True
303,False
304,False
305,True
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,True
318,True
319,True
320,False
321,True
322,False
323,False
324,False
325,False
326,False
327,False
328,True
329,True
330,True
331,True
332,True
333,True
334,False
335,True
336,False
337,False
338,False
339,True
340,True
341,False
342,True
343,True
344,True
345,False
346,False
347,True
348,False
349,False
350,False
351,False
352,True
353,True
354,False
355,False
356,True
357,False
358,False
359,True
360,True
361,False
362,True
363,True
364,False
365,False
366,True
367,False
368,False
369,True
370,False
371,False
372,True
373,True
374,True
375,True
376,False
377,True
378,False
379,False
380,True
381,False
382,True
383,False
384,False
385,True
386,True
387,False
388,True
389,False
390,False
391,False
392,True
393,False
394,True
395,False
396,True
397,True
398,False
399,True
400,True
401,False
402,False
403,False
404,False
405,True
406,False
407,True
408,True
409,False
410,True
411,True
412,False
413,True
414,False
415,False
416,True
417,False
418,False
419,False
420,False
421,False
422,True
423,False
424,True
425,False
426,False
427,False
428,True
429,False
430,False
431,True
432,False
433,False
434,False
435,True
436,False
437,False
438,False
439,True
440,False
441,False
442,True
443,True
444,True
445,True
446,True
447,True
448,False
449,True
450,False
451,True
452,True
453,False
454,False
455,True
456,False
457,True
458,False
459,True
460,False
461,False
462,True
463,False
464,True
465,True
466,False
467,False
468,True
469,False
470,True
471,False
472,True
473,True
474,False
475,True
476,True
477,False
478,False
479,True
480,False
481,False
482,False
483,False
484,False
485,True
486,True
487,False
488,False
489,True
490,False
491,True
492,False
493,False
494,False
495,False
496,False
497,True
498,False
499,False
500,False
501,True
502,True
503,True
504,False
505,True
506,True
507,False
508,True
509,True
510,False
511,False
512,True
513,True
514,True
515,True
516,True
517,True
518,True
519,True
520,False
521,False
522,False
523,True
524,True
525,True
526,False
527,False
528,False
529,True
530,True
531,False
532,False
533,True
534,False
535,False
536,True
537,True
538,False
539,True
540,False
541,False
542,False
543,False
544,False
545,False
546,False
547,False
548,True
549,False
550,False
551,True
552,True
553,True
554,True
555,True
556,True
557,True
558,False
559,True
560,False
561,True
562,True
563,True
564,False
565,True
566,False
567,True
568,False
569,False
570,True
571,True
572,True
573,False
574,False
575,False
576,True
577,True
578,False
579,False
580,True
581,False
582,False
583,True
